Tactic,Police Force,Force type - Output,Tactic - Output,ethnicity,count
Irritant spray - used,Cumbria,Other equipment,Irritant spray: used,White,224.0
Not stated irritant spray,Cumbria,Other equipment,Irritant spray: not stated,White,0.0
Spit and bite guard,Cumbria,Other equipment,Spit and bite guard,White,18.0
Shield,Cumbria,Other equipment,Shield,White,5.0
*Total Less lethal weapons,Cumbria,Less lethal weapons,Total: Less lethal weapons,White,206.0
CED,Cumbria,Less lethal weapons,CED,White,206.0
"AEP, of which",Cumbria,Less lethal weapons,Total: AEP,White,0.0
AEP aimed,Cumbria,Less lethal weapons,AEP: Aimed,White,0.0
AEP fired,Cumbria,Less lethal weapons,AEP: Fired,White,0.0
Not stated AEP,Cumbria,Less lethal weapons,AEP: Not stated,White,0.0
*Total Firearms,Cumbria,Firearms,Total: Firearms,White,6.0
*Total Other,Cumbria,Other,Total: Other,White,280.0
"Dog use, of which",Cumbria,Other,Total: Dog,White,21.0
Dog deployed,Cumbria,Other,Dog: deployed,White,19.0
Dog bite,Cumbria,Other,Dog: bite,White,2.0
Not stated dog,Cumbria,Other,Dog: not stated,White,0.0
Other / improvised,Cumbria,Other,Other / improvised,White,259.0
*Total Not reported,Cumbria,Not reported,Total: Not reported,White,12.0
Tactical communication,Cumbria,Excluded: Tactical Communication,Tactical Communication,White,2596.0
*Total Tactics,Derbyshire,Total,Total: all,White,5055.0
*Total Restraint,Derbyshire,Restraint,Total: Restraint,White,2660.0
"Handcuffing, of which",Derbyshire,Restraint,Total: Handcuffing,White,2031.0
Compliant handcuffing,Derbyshire,Restraint,Handcuffing: compliant,White,934.0
Non-compliant handcuffing,Derbyshire,Restraint,Handcuffing: non-compliant,White,1097.0
Not stated handcuffing,Derbyshire,Restraint,Handcuffing: not stated,White,0.0
Limb / Body restraints,Derbyshire,Restraint,Limb / body restraints,White,263.0
Ground restraint,Derbyshire,Restraint,Ground restraint,White,366.0
*Total Unarmed skills,Derbyshire,Unarmed skills,Total: unarmed skills,White,1463.0
*Total Other equipment,Derbyshire,Other equipment,Total: Other equipment,White,579.0
"Baton, of which",Derbyshire,Other equipment,Total: Baton,White,64.0
Baton drawn,Derbyshire,Other equipment,Baton: drawn,White,41.0
Baton used,Derbyshire,Other equipment,Baton: used,White,23.0
Not stated baton,Derbyshire,Other equipment,Baton: not stated,White,0.0
"Irritant spray, of which",Derbyshire,Other equipment,Total: Irritant spray,White,452.0
Irritant spray - drawn,Derbyshire,Other equipment,Irritant spray: drawn,White,211.0
Irritant spray - used,Derbyshire,Other equipment,Irritant spray: used,White,241.0
Not stated irritant spray,Derbyshire,Other equipment,Irritant spray: not stated,White,0.0
Spit and bite guard,Derbyshire,Other equipment,Spit and bite guard,White,55.0
Shield,Derbyshire,Other equipment,Shield,White,8.0
*Total Less lethal weapons,Derbyshire,Less lethal weapons,Total: Less lethal weapons,White,143.0
