Tactic,Police Force,Force type - Output,Tactic - Output,ethnicity,count
*Total Not reported,Dorset,Not reported,Total: Not reported,White,0.0
Tactical communication,Dorset,Excluded: Tactical Communication,Tactical Communication,White,369.0
*Total Tactics,Durham,Total,Total: all,White,8213.0
*Total Restraint,Durham,Restraint,Total: Restraint,White,5409.0
"Handcuffing, of which",Durham,Restraint,Total: Handcuffing,White,4386.0
Compliant handcuffing,Durham,Restraint,Handcuffing: compliant,White,3091.0
Non-compliant handcuffing,Durham,Restraint,Handcuffing: non-compliant,White,1295.0
Not stated handcuffing,Durham,Restraint,Handcuffing: not stated,White,0.0
Limb / Body restraints,Durham,Restraint,Limb / body restraints,White,104.0
Ground restraint,Durham,Restraint,Ground restraint,White,919.0
*Total Unarmed skills,Durham,Unarmed skills,Total: unarmed skills,White,1982.0
*Total Other equipment,Durham,Other equipment,Total: Other equipment,White,273.0
"Baton, of which",Durham,Other equipment,Total: Baton,White,36.0
Baton drawn,Durham,Other equipment,Baton: drawn,White,21.0
Baton used,Durham,Other equipment,Baton: used,White,15.0
Not stated baton,Durham,Other equipment,Baton: not stated,White,0.0
"Irritant spray, of which",Durham,Other equipment,Total: Irritant spray,White,227.0
Irritant spray - drawn,Durham,Other equipment,Irritant spray: drawn,White,79.0
Irritant spray - used,Durham,Other equipment,Irritant spray: used,White,148.0
Not stated irritant spray,Durham,Other equipment,Irritant spray: not stated,White,0.0
Spit and bite guard,Durham,Other equipment,Spit and bite guard,White,0.0
Shield,Durham,Other equipment,Shield,White,10.0
*Total Less lethal weapons,Durham,Less lethal weapons,Total: Less lethal weapons,White,304.0
CED,Durham,Less lethal weapons,CED,White,290.0
"AEP, of which",Durham,Less lethal weapons,Total: AEP,White,14.0
AEP aimed,Durham,Less lethal weapons,AEP: Aimed,White,12.0
AEP fired,Durham,Less lethal weapons,AEP: Fired,White,2.0
Not stated AEP,Durham,Less lethal weapons,AEP: Not stated,White,0.0
*Total Firearms,Durham,Firearms,Total: Firearms,White,20.0
*Total Other,Durham,Other,Total: Other,White,225.0
"Dog use, of which",Durham,Other,Total: Dog,White,25.0
Dog deployed,Durham,Other,Dog: deployed,White,24.0
Dog bite,Durham,Other,Dog: bite,White,1.0
Not stated dog,Durham,Other,Dog: not stated,White,0.0
Other / improvised,Durham,Other,Other / improvised,White,200.0
*Total Not reported,Durham,Not reported,Total: Not reported,White,0.0
Tactical communication,Durham,Excluded: Tactical Communication,Tactical Communication,White,1087.0
*Total Tactics,Dyfed-Powys,Total,Total: all,White,4800.0
*Total Restraint,Dyfed-Powys,Restraint,Total: Restraint,White,2786.0
"Handcuffing, of which",Dyfed-Powys,Restraint,Total: Handcuffing,White,2406.0
Compliant handcuffing,Dyfed-Powys,Restraint,Handcuffing: compliant,White,1503.0
Non-compliant handcuffing,Dyfed-Powys,Restraint,Handcuffing: non-compliant,White,903.0
Not stated handcuffing,Dyfed-Powys,Restraint,Handcuffing: not stated,White,0.0
Limb / Body restraints,Dyfed-Powys,Restraint,Limb / body restraints,White,102.0
Ground restraint,Dyfed-Powys,Restraint,Ground restraint,White,278.0
*Total Unarmed skills,Dyfed-Powys,Unarmed skills,Total: unarmed skills,White,1431.0
*Total Other equipment,Dyfed-Powys,Other equipment,Total: Other equipment,White,161.0
"Baton, of which",Dyfed-Powys,Other equipment,Total: Baton,White,12.0
Baton drawn,Dyfed-Powys,Other equipment,Baton: drawn,White,8.0
Baton used,Dyfed-Powys,Other equipment,Baton: used,White,4.0
Not stated baton,Dyfed-Powys,Other equipment,Baton: not stated,White,0.0
"Irritant spray, of which",Dyfed-Powys,Other equipment,Total: Irritant spray,White,117.0
Irritant spray - drawn,Dyfed-Powys,Other equipment,Irritant spray: drawn,White,41.0
Irritant spray - used,Dyfed-Powys,Other equipment,Irritant spray: used,White,76.0
Not stated irritant spray,Dyfed-Powys,Other equipment,Irritant spray: not stated,White,0.0
Spit and bite guard,Dyfed-Powys,Other equipment,Spit and bite guard,White,31.0
Shield,Dyfed-Powys,Other equipment,Shield,White,1.0
*Total Less lethal weapons,Dyfed-Powys,Less lethal weapons,Total: Less lethal weapons,White,219.0
CED,Dyfed-Powys,Less lethal weapons,CED,White,194.0
"AEP, of which",Dyfed-Powys,Less lethal weapons,Total: AEP,White,25.0
AEP aimed,Dyfed-Powys,Less lethal weapons,AEP: Aimed,White,25.0
AEP fired,Dyfed-Powys,Less lethal weapons,AEP: Fired,White,0.0
Not stated AEP,Dyfed-Powys,Less lethal weapons,AEP: Not stated,White,0.0
*Total Firearms,Dyfed-Powys,Firearms,Total: Firearms,White,61.0
*Total Other,Dyfed-Powys,Other,Total: Other,White,142.0
"Dog use, of which",Dyfed-Powys,Other,Total: Dog,White,2.0
Dog deployed,Dyfed-Powys,Other,Dog: deployed,White,2.0
Dog bite,Dyfed-Powys,Other,Dog: bite,White,0.0
Not stated dog,Dyfed-Powys,Other,Dog: not stated,White,0.0
Other / improvised,Dyfed-Powys,Other,Other / improvised,White,140.0
*Total Not reported,Dyfed-Powys,Not reported,Total: Not reported,White,0.0
Tactical communication,Dyfed-Powys,Excluded: Tactical Communication,Tactical Communication,White,1903.0
*Total Tactics,Essex,Total,Total: all,White,15620.0
*Total Restraint,Essex,Restraint,Total: Restraint,White,10193.0
"Handcuffing, of which",Essex,Restraint,Total: Handcuffing,White,6700.0
Compliant handcuffing,Essex,Restraint,Handcuffing: compliant,White,3922.0
Non-compliant handcuffing,Essex,Restraint,Handcuffing: non-compliant,White,2778.0
Not stated handcuffing,Essex,Restraint,Handcuffing: not stated,White,0.0
Limb / Body restraints,Essex,Restraint,Limb / body restraints,White,914.0
Ground restraint,Essex,Restraint,Ground restraint,White,2579.0
*Total Unarmed skills,Essex,Unarmed skills,Total: unarmed skills,White,3384.0
*Total Other equipment,Essex,Other equipment,Total: Other equipment,White,453.0
"Baton, of which",Essex,Other equipment,Total: Baton,White,116.0
Baton drawn,Essex,Other equipment,Baton: drawn,White,83.0
Baton used,Essex,Other equipment,Baton: used,White,33.0
Not stated baton,Essex,Other equipment,Baton: not stated,White,0.0
"Irritant spray, of which",Essex,Other equipment,Total: Irritant spray,White,163.0
Irritant spray - drawn,Essex,Other equipment,Irritant spray: drawn,White,93.0
Irritant spray - used,Essex,Other equipment,Irritant spray: used,White,70.0
Not stated irritant spray,Essex,Other equipment,Irritant spray: not stated,White,0.0
Spit and bite guard,Essex,Other equipment,Spit and bite guard,White,136.0
Shield,Essex,Other equipment,Shield,White,38.0
*Total Less lethal weapons,Essex,Less lethal weapons,Total: Less lethal weapons,White,225.0
CED,Essex,Less lethal weapons,CED,White,198.0
"AEP, of which",Essex,Less lethal weapons,Total: AEP,White,27.0
AEP aimed,Essex,Less lethal weapons,AEP: Aimed,White,25.0
AEP fired,Essex,Less lethal weapons,AEP: Fired,White,2.0
Not stated AEP,Essex,Less lethal weapons,AEP: Not stated,White,0.0
*Total Firearms,Essex,Firearms,Total: Firearms,White,196.0
*Total Other,Essex,Other,Total: Other,White,1169.0
"Dog use, of which",Essex,Other,Total: Dog,White,70.0
Dog deployed,Essex,Other,Dog: deployed,White,45.0
Dog bite,Essex,Other,Dog: bite,White,25.0
Not stated dog,Essex,Other,Dog: not stated,White,0.0
Other / improvised,Essex,Other,Other / improvised,White,1099.0
*Total Not reported,Essex,Not reported,Total: Not reported,White,0.0
Tactical communication,Essex,Excluded: Tactical Communication,Tactical Communication,White,3865.0
*Total Tactics,Gloucestershire,Total,Total: all,White,1385.0
*Total Restraint,Gloucestershire,Restraint,Total: Restraint,White,896.0
"Handcuffing, of which",Gloucestershire,Restraint,Total: Handcuffing,White,630.0
Compliant handcuffing,Gloucestershire,Restraint,Handcuffing: compliant,White,376.0
Non-compliant handcuffing,Gloucestershire,Restraint,Handcuffing: non-compliant,White,254.0
Not stated handcuffing,Gloucestershire,Restraint,Handcuffing: not stated,White,0.0
Limb / Body restraints,Gloucestershire,Restraint,Limb / body restraints,White,58.0
Ground restraint,Gloucestershire,Restraint,Ground restraint,White,208.0
*Total Unarmed skills,Gloucestershire,Unarmed skills,Total: unarmed skills,White,221.0
*Total Other equipment,Gloucestershire,Other equipment,Total: Other equipment,White,101.0
"Baton, of which",Gloucestershire,Other equipment,Total: Baton,White,21.0
Baton drawn,Gloucestershire,Other equipment,Baton: drawn,White,12.0
Baton used,Gloucestershire,Other equipment,Baton: used,White,9.0
Not stated baton,Gloucestershire,Other equipment,Baton: not stated,White,0.0
"Irritant spray, of which",Gloucestershire,Other equipment,Total: Irritant spray,White,49.0
Irritant spray - drawn,Gloucestershire,Other equipment,Irritant spray: drawn,White,23.0
Irritant spray - used,Gloucestershire,Other equipment,Irritant spray: used,White,26.0
Not stated irritant spray,Gloucestershire,Other equipment,Irritant spray: not stated,White,0.0
Spit and bite guard,Gloucestershire,Other equipment,Spit and bite guard,White,23.0
Shield,Gloucestershire,Other equipment,Shield,White,8.0
*Total Less lethal weapons,Gloucestershire,Less lethal weapons,Total: Less lethal weapons,White,130.0
CED,Gloucestershire,Less lethal weapons,CED,White,115.0
"AEP, of which",Gloucestershire,Less lethal weapons,Total: AEP,White,15.0
AEP aimed,Gloucestershire,Less lethal weapons,AEP: Aimed,White,12.0
AEP fired,Gloucestershire,Less lethal weapons,AEP: Fired,White,3.0
Not stated AEP,Gloucestershire,Less lethal weapons,AEP: Not stated,White,0.0
*Total Firearms,Gloucestershire,Firearms,Total: Firearms,White,4.0
*Total Other,Gloucestershire,Other,Total: Other,White,33.0
"Dog use, of which",Gloucestershire,Other,Total: Dog,White,0.0
Dog deployed,Gloucestershire,Other,Dog: deployed,White,0.0
Dog bite,Gloucestershire,Other,Dog: bite,White,0.0
Not stated dog,Gloucestershire,Other,Dog: not stated,White,0.0
Other / improvised,Gloucestershire,Other,Other / improvised,White,33.0
*Total Not reported,Gloucestershire,Not reported,Total: Not reported,White,0.0
Tactical communication,Gloucestershire,Excluded: Tactical Communication,Tactical Communication,White,711.0
*Total Tactics,Greater Manchester,Total,Total: all,White,10134.0
*Total Restraint,Greater Manchester,Restraint,Total: Restraint,White,6212.0
"Handcuffing, of which",Greater Manchester,Restraint,Total: Handcuffing,White,3141.0
Compliant handcuffing,Greater Manchester,Restraint,Handcuffing: compliant,White,1325.0
Non-compliant handcuffing,Greater Manchester,Restraint,Handcuffing: non-compliant,White,1816.0
Not stated handcuffing,Greater Manchester,Restraint,Handcuffing: not stated,White,0.0
Limb / Body restraints,Greater Manchester,Restraint,Limb / body restraints,White,1621.0
Ground restraint,Greater Manchester,Restraint,Ground restraint,White,1450.0
*Total Unarmed skills,Greater Manchester,Unarmed skills,Total: unarmed skills,White,2056.0
*Total Other equipment,Greater Manchester,Other equipment,Total: Other equipment,White,504.0
"Baton, of which",Greater Manchester,Other equipment,Total: Baton,White,236.0
Baton drawn,Greater Manchester,Other equipment,Baton: drawn,White,171.0
Baton used,Greater Manchester,Other equipment,Baton: used,White,65.0
Not stated baton,Greater Manchester,Other equipment,Baton: not stated,White,0.0
"Irritant spray, of which",Greater Manchester,Other equipment,Total: Irritant spray,White,182.0
Irritant spray - drawn,Greater Manchester,Other equipment,Irritant spray: drawn,White,106.0
Irritant spray - used,Greater Manchester,Other equipment,Irritant spray: used,White,76.0
Not stated irritant spray,Greater Manchester,Other equipment,Irritant spray: not stated,White,0.0
Spit and bite guard,Greater Manchester,Other equipment,Spit and bite guard,White,3.0
Shield,Greater Manchester,Other equipment,Shield,White,83.0
*Total Less lethal weapons,Greater Manchester,Less lethal weapons,Total: Less lethal weapons,White,1122.0
CED,Greater Manchester,Less lethal weapons,CED,White,1118.0
"AEP, of which",Greater Manchester,Less lethal weapons,Total: AEP,White,4.0
AEP aimed,Greater Manchester,Less lethal weapons,AEP: Aimed,White,2.0
AEP fired,Greater Manchester,Less lethal weapons,AEP: Fired,White,2.0
Not stated AEP,Greater Manchester,Less lethal weapons,AEP: Not stated,White,0.0
*Total Firearms,Greater Manchester,Firearms,Total: Firearms,White,58.0
*Total Other,Greater Manchester,Other,Total: Other,White,182.0
"Dog use, of which",Greater Manchester,Other,Total: Dog,White,26.0
Dog deployed,Greater Manchester,Other,Dog: deployed,White,17.0
Dog bite,Greater Manchester,Other,Dog: bite,White,9.0
Not stated dog,Greater Manchester,Other,Dog: not stated,White,0.0
Other / improvised,Greater Manchester,Other,Other / improvised,White,156.0
*Total Not reported,Greater Manchester,Not reported,Total: Not reported,White,19.0
Tactical communication,Greater Manchester,Excluded: Tactical Communication,Tactical Communication,White,4257.0
*Total Tactics,Gwent,Total,Total: all,White,6783.0
*Total Restraint,Gwent,Restraint,Total: Restraint,White,4580.0
"Handcuffing, of which",Gwent,Restraint,Total: Handcuffing,White,4104.0
Compliant handcuffing,Gwent,Restraint,Handcuffing: compliant,White,2828.0
Non-compliant handcuffing,Gwent,Restraint,Handcuffing: non-compliant,White,1272.0
Not stated handcuffing,Gwent,Restraint,Handcuffing: not stated,White,4.0
Limb / Body restraints,Gwent,Restraint,Limb / body restraints,White,12.0
Ground restraint,Gwent,Restraint,Ground restraint,White,464.0
*Total Unarmed skills,Gwent,Unarmed skills,Total: unarmed skills,White,1484.0
*Total Other equipment,Gwent,Other equipment,Total: Other equipment,White,380.0
"Baton, of which",Gwent,Other equipment,Total: Baton,White,21.0
Baton drawn,Gwent,Other equipment,Baton: drawn,White,11.0
Baton used,Gwent,Other equipment,Baton: used,White,10.0
Not stated baton,Gwent,Other equipment,Baton: not stated,White,0.0
"Irritant spray, of which",Gwent,Other equipment,Total: Irritant spray,White,239.0
Irritant spray - drawn,Gwent,Other equipment,Irritant spray: drawn,White,110.0
Irritant spray - used,Gwent,Other equipment,Irritant spray: used,White,129.0
Not stated irritant spray,Gwent,Other equipment,Irritant spray: not stated,White,0.0
Spit and bite guard,Gwent,Other equipment,Spit and bite guard,White,107.0
Shield,Gwent,Other equipment,Shield,White,13.0
*Total Less lethal weapons,Gwent,Less lethal weapons,Total: Less lethal weapons,White,154.0
CED,Gwent,Less lethal weapons,CED,White,147.0
"AEP, of which",Gwent,Less lethal weapons,Total: AEP,White,7.0
AEP aimed,Gwent,Less lethal weapons,AEP: Aimed,White,6.0
AEP fired,Gwent,Less lethal weapons,AEP: Fired,White,0.0
Not stated AEP,Gwent,Less lethal weapons,AEP: Not stated,White,1.0
*Total Firearms,Gwent,Firearms,Total: Firearms,White,23.0
*Total Other,Gwent,Other,Total: Other,White,162.0
"Dog use, of which",Gwent,Other,Total: Dog,White,24.0
Dog deployed,Gwent,Other,Dog: deployed,White,22.0
Dog bite,Gwent,Other,Dog: bite,White,2.0
Not stated dog,Gwent,Other,Dog: not stated,White,0.0
Other / improvised,Gwent,Other,Other / improvised,White,138.0
*Total Not reported,Gwent,Not reported,Total: Not reported,White,354.0
Tactical communication,Gwent,Excluded: Tactical Communication,Tactical Communication,White,1576.0
*Total Tactics,Hampshire,Total,Total: all,White,7034.0
*Total Restraint,Hampshire,Restraint,Total: Restraint,White,4376.0
"Handcuffing, of which",Hampshire,Restraint,Total: Handcuffing,White,2373.0
Compliant handcuffing,Hampshire,Restraint,Handcuffing: compliant,White,682.0
Non-compliant handcuffing,Hampshire,Restraint,Handcuffing: non-compliant,White,1691.0
Not stated handcuffing,Hampshire,Restraint,Handcuffing: not stated,White,0.0
Limb / Body restraints,Hampshire,Restraint,Limb / body restraints,White,596.0
Ground restraint,Hampshire,Restraint,Ground restraint,White,1407.0
*Total Unarmed skills,Hampshire,Unarmed skills,Total: unarmed skills,White,1951.0
*Total Other equipment,Hampshire,Other equipment,Total: Other equipment,White,312.0
"Baton, of which",Hampshire,Other equipment,Total: Baton,White,55.0
Baton drawn,Hampshire,Other equipment,Baton: drawn,White,48.0
Baton used,Hampshire,Other equipment,Baton: used,White,7.0
Not stated baton,Hampshire,Other equipment,Baton: not stated,White,0.0
"Irritant spray, of which",Hampshire,Other equipment,Total: Irritant spray,White,143.0
Irritant spray - drawn,Hampshire,Other equipment,Irritant spray: drawn,White,108.0
Irritant spray - used,Hampshire,Other equipment,Irritant spray: used,White,35.0
Not stated irritant spray,Hampshire,Other equipment,Irritant spray: not stated,White,0.0
Spit and bite guard,Hampshire,Other equipment,Spit and bite guard,White,90.0
Shield,Hampshire,Other equipment,Shield,White,24.0
*Total Less lethal weapons,Hampshire,Less lethal weapons,Total: Less lethal weapons,White,177.0
CED,Hampshire,Less lethal weapons,CED,White,176.0
"AEP, of which",Hampshire,Less lethal weapons,Total: AEP,White,1.0
AEP aimed,Hampshire,Less lethal weapons,AEP: Aimed,White,1.0
